id,q,r,state,constituency,ge14_win_coallition,ge14_win_party,ge13_win_coallition,ge13_win_party,ge14_majority,ge14_majority_pct,ge13_majority,ge13_majority_pct,ge14_malay,ge13_malay,ge14_chinese,ge13_chinese,ge14_indian,ge13_indian,ge14_bp_sabah_muslim,ge14_bp_sabah_nonmuslim,ge14_bp_swk,ge14_orang_asli,ge14_others,ge13_others,ge14_total_electorate,ge13_total_electorate,ge14_total_vote_cast,ge13_total_vote_cast,ge14_turnout,ge13_turnout
P050,4,12,Penang,Jelutong,PH,DAP,PR,DAP,38171,59.28,25750,41.91,23,20,65,68,12,11,0,0,0,0,0,0,76991,71247,64386,61441,84,86
P051,3,12,Penang,Bukit Gelugor,PH,DAP,PR,DAP,55951,73.39,41778,59.21,14,15,74,74,11,10,0,0,0,0,0,0,91595,81897,76233,70554,83,86
P052,3,11,Penang,Bayan Baru,PH,PKR,PR,PKR,37751,49.93,19307,28.12,40,39,49,48,11,12,0,0,0,0,0,1,90780,79155,75611,68659,83,87
P053,2,13,Penang,Balik Pulau,PH,PKR,BN,UMNO,6464,12.82,1539,3.52,65,60,30,35,4,4,0,0,0,0,0,0,59086,49641,50407,43709,85,88
P054,11,14,Perak,Gerik,BN,UMNO,BN,UMNO,5528,19.81,6216,22.93,69,68,14,16,3,12,55,0,1,9,3,0,35903,32725,27906,27108,78,83
P055,11,13,Perak,Lenggong,BN,UMNO,BN,UMNO,5773,24.45,3453,14.7,83,82,13,14,1,2,7,0,0,2,0,0,29752,27950,23610,23485,79,84
P056,10,13,Perak,Larut,BN,UMNO,BN,UMNO,4486,11.12,5296,13.26,90,89,4,6,6,5,0,0,0,0,0,0,49453,46577,40342,39929,82,86
P057,7,10,Perak,Parit Buntar,PH,AMANAH,PR,PAS,3098,7.16,8476,19.19,69,68,26,27,5,5,0,0,0,0,0,0,51860,51422,43256,44172,83,86
P058,8,11,Perak,Bagan Serai,BN,UMNO,BN,UMNO,172,0.36,1140,2.46,78,76,13,14,9,10,0,0,0,0,0,0,59293,54792,48120,46313,81,85
P059,9,11,Perak,Bukit Gantang,BN,UMNO,PR,PAS,4089,7.1,986,1.62,72,65,19,25,8,10,0,0,0,0,0,0,69873,71257,57624,60888,82,85
P060,10,12,Perak,Taiping,PH,DAP,PR,DAP,27384,38.66,11745,18.42,39,37,46,48,13,13,0,0,1,0,0,0,90729,78148,70835,63749,78,82
P061,12,13,Perak,Padang Rengas,BN,UMNO,BN,UMNO,2548,9.95,2230,9.22,78,76,15,17,7,7,0,0,0,0,0,0,30996,28518,25596,24190,83,85
P062,12,14,Perak,Sungai Siput,PH,PKR,PR,PKR,5607,12.88,2793,6.72,34,33,36,39,21,21,1,0,0,8,0,0,55002,51596,43540,41572,79,81
P063,14,11,Perak,Tambun,PH,PPBM,BN,UMNO,5320,6.05,9325,12.26,66,64,20,22,11,12,0,0,0,1,0,0,107763,89435,87910,76057,82,85
P064,12,12,Perak,Ipoh Timur,PH,DAP,PR,DAP,42797,60.05,34000,52.3,21,14,72,79,6,5,0,0,0,0,0,0,91486,81818,71264,65006,78,79
P065,11,11,Perak,Ipoh Barat,PH,DAP,PR,DAP,45724,68.88,29038,46.16,12,23,63,62,24,14,0,0,0,0,0,0,84874,77761,66380,62912,78,81
P066,10,11,Perak,Batu Gajah,PH,DAP,PR,DAP,43868,69.06,38596,55.06,10,15,75,74,15,11,0,0,0,0,0,0,81399,87587,63520,70096,78,80
P067,11,12,Perak,Kuala Kangsar,BN,UMNO,BN,UMNO,731,2.39,1082,3.84,70,68,22,24,7,7,0,0,0,1,0,0,36954,33540,30567,28208,83,84
P068,7,9,Perak,Beruas,PH,DAP,PR,DAP,27954,45.62,5057,12.8,26,33,59,52,14,15,0,0,0,0,0,0,79794,49205,61276,39508,77,80
P069,8,10,Perak,Parit,BN,UMNO,BN,UMNO,6320,21.49,4497,15.76,93,92,2,3,3,3,0,0,0,2,0,0,35910,33503,29415,28541,82,85
P070,12,11,Perak,Kampar,PH,DAP,PR,DAP,11801,22.12,5400,10.99,33,29,55,60,9,9,0,0,0,2,0,0,69436,63619,53353,49146,77,77
P071,13,11,Perak,Gopeng,PH,PKR,PR,PKR,29778,37.18,15309,18.84,42,43,46,46,9,9,0,0,0,2,0,0,99167,97092,80086,81263,81,84
P072,13,10,Perak,Tapah,BN,MIC,BN,MIC,614,1.66,7927,21.51,46,46,26,28,14,23,0,0,0,13,1,0,47128,45485,36934,36855,78,81
P073,9,10,Perak,Pasir Salak,BN,UMNO,BN,UMNO,7712,17.39,7386,17.03,81,79,13,14,3,4,0,0,0,3,0,0,54671,51498,44340,43372,81,84
P074,8,9,Perak,Lumut,PH,AMANAH,PR,PKR,400,0.73,8168,11.1,72,51,15,35,11,12,1,0,1,0,0,0,67157,88300,54726,73581,81,83
P075,9,9,Perak,Bagan Datuk,BN,UMNO,BN,UMNO,5073,13.48,2108,6.4,59,55,18,20,22,24,0,0,0,0,1,0,47309,39924,37620,32960,80,83
P076,10,10,Perak,Teluk Intan,PH,DAP,PR,DAP,11179,20.55,7313,15.03,41,38,40,42,19,19,0,0,0,0,0,0,66487,60483,54397,48649,82,80
P077,11,10,Perak,Tanjung Malim,PH,PKR,BN,MCA,5358,9.68,4328,8.13,56,53,26,27,13,14,0,0,0,5,0,0,68468,64499,55348,53237,81,83
P078,15,11,Pahang,Cameron Highlands,BN,MIC,BN,MIC,597,2.37,462,2.03,34,34,29,32,15,12,0,0,0,22,0,21,32048,27980,25155,22748,78,81
P079,15,10,Pahang,Lipis,BN,UMNO,BN,UMNO,6569,23.01,3469,12.85,78,76,16,17,5,6,0,0,0,1,0,1,35294,32324,28554,26986,81,83
P080,15,9,Pahang,Raub,PH,DAP,PR,DAP,3159,6.75,2814,6.26,52,50,38,40,6,6,0,0,0,3,0,3,57723,54214,46791,44943,81,83
P081,16,10,Pahang,Jerantut,BN,UMNO,BN,UMNO,5908,11.54,4532,9.16,82,81,13,14,3,3,0,0,0,2,0,2,63609,58364,51190,49461,80,85
P082,17,9,Pahang,Indera Mahkota,PH,PKR,PR,PKR,10950,17.02,7523,13.8,67,65,27,29,6,6,0,0,0,0,0,0,77208,64219,64343,54527,83,85
P083,17,8,Pahang,Kuantan,PH,PKR,PR,PKR,8111,15.61,4515,9.46,66,63,30,33,3,4,0,0,0,0,0,0,62696,56280,51968,47723,83,85
P084,17,10,Pahang,Paya Besar,BN,UMNO,BN,UMNO,5742,12.83,7715,18.96,83,81,13,15,2,2,0,0,0,1,0,1,55135,48067,44771,40694,81,85
P085,17,6,Pahang,Pekan,BN,UMNO,BN,UMNO,24859,34.52,35613,52.2,88,89,2,2,1,1,0,0,0,8,1,8,88899,80260,72007,68218,81,85
P086,17,7,Pahang,Maran,BN,UMNO,BN,UMNO,3763,11.33,6475,19.87,90,90,6,7,1,1,0,0,0,2,0,2,41036,38436,33207,32595,81,85
P087,16,9,Pahang,Kuala Krau,BN,UMNO,BN,UMNO,2876,7.39,6205,16.53,90,90,3,3,2,3,0,0,0,5,0,4,47264,43003,38924,37548,82,87
P088,16,8,Pahang,Temerloh,PH,AMANAH,PR,PAS,1904,3.08,1070,1.9,66,65,23,24,8,9,0,0,1,1,1,2,75081,66105,61915,56441,82,85
P089,15,8,Pahang,Bentong,PH,DAP,BN,MCA,2032,3.64,379,0.72,47,45,42,44,9,9,0,0,0,2,0,2,67359,62266,55889,52503,83,84
P090,16,7,Pahang,Bera,BN,UMNO,BN,UMNO,2311,4.81,2143,5,62,60,29,32,4,4,0,0,0,5,0,5,58711,50997,48072,42830,82,84
P091,18,6,Pahang,Rompin,BN,UMNO,BN,UMNO,11395,22.5,15114,32.96,88,88,2,2,1,1,0,0,0,8,0,9,61918,53596,50654,45849,82,86
