par_code,state,ge13_constituency,ge14_constituency,ge13_win_coallition,ge13_win_party,ge14_win_coallition,ge14_win_party,ge13_majority,ge13_majority_pct,ge14_majority,ge14_majority_pct,ge13_malay,ge14_malay,bn_ge13_vote,bn_rede_vote,bn_ge14_vote,bn_ge13_vote_pct,bn_rede_vote_pct,adjusted_rede_diff,bn_ge14_vote_pct,swing_vote,swing_pct,ge13_total_electorate,rede_total_electorate,ge14_total_electorate,ge13_tvv,rede_tvv,ge14_tvv,ge13_turnout,ge14_turnout
P029,Kelantan,Machang,Machang,BN,UMNO,BN,UMNO,805,1.57,2824,5.06,96,96,25660,25660,26076,51,51,0,47,416,1.6,59226,59226,68387,50515,50515,55023,87,82
P030,Kelantan,Jeli,Jeli,BN,UMNO,BN,UMNO,5269,13.95,2824,7.21,98,98,21345,20752,21665,57,57,0,56,913,4.21,43224,42015,47470,37354,36304,38761,87,83
P031,Kelantan,Kuala Krai,Kuala Krai,PR,PAS,PAS,PAS,2043,3.75,7992,14.31,94,95,25876,25876,20911,48,48,0,38,-4965,-23.74,63101,63101,70348,53795,53795,54987,86,79
P032,Kelantan,Gua Musang,Gua Musang,BN,UMNO,BN,UMNO,8413,24.01,3913,9.57,81,82,21367,21367,19426,62,62,0,49,-1941,-9.99,40176,40176,52524,34321,34321,39936,87,78
P033,Terengganu,Besut,Besut,BN,UMNO,BN,UMNO,8342,13.29,4599,6.4,98,98,35232,35232,34335,57,57,0,48,-897,-2.61,72566,72566,86627,62122,62122,70935,86,83
P034,Terengganu,Setiu,Setiu,BN,UMNO,PAS,PAS,7943,13.43,2802,3.83,99,99,33198,36077,32218,57,56,-1,45,-3859,-11.98,67280,74057,86247,58453,64346,71978,88,85
P035,Terengganu,Kuala Nerus,Kuala Nerus,PR,PAS,PAS,PAS,610,0.9,8447,11.6,99,99,33251,30372,29527,50,50,0,41,-845,-2.86,76238,69461,83663,67112,61219,72105,89,87
P036,Terengganu,Kuala Terengganu,Kuala Terengganu,PR,PAS,PAS,PAS,10785,13.17,14773,16.91,89,90,35043,35043,28215,43,43,0,33,-6828,-24.2,94406,94406,103611,81053,81053,86583,87,84
P037,Terengganu,Marang,Marang,PR,PAS,PAS,PAS,5124,6.28,21954,23.94,98,98,37860,37860,31795,47,47,0,35,-6065,-19.08,90795,90795,104898,80844,80844,90682,90,87
P038,Terengganu,Hulu Terengganu,Hulu Terengganu,BN,UMNO,BN,UMNO,8213,14.54,2868,4.54,99,99,31940,31940,30925,57,57,0,50,-1015,-3.28,63543,63543,73487,55667,55667,62346,89,86
P039,Terengganu,Dungun,Dungun,PR,PAS,PAS,PAS,3942,5.79,13119,17.19,96,96,31406,30604,27731,47,47,0,37,-2873,-10.36,78174,75610,90506,67138,64958,75414,87,84
P040,Terengganu,Kemaman,Kemaman,BN,UMNO,PAS,PAS,12306,15.39,2163,2.36,94,93,45525,45525,37715,58,58,0,42,-7810,-20.71,91942,91942,107593,78744,78744,90504,87,85
P041,Penang,Kepala Batas,Kepala Batas,BN,UMNO,BN,UMNO,4176,8.95,4736,8.93,76,79,25128,25128,22459,55,49,-6,43,-2669,-11.88,51635,51635,60523,46080,51635,52302,90,88
P042,Penang,Tasek Gelugor,Tasek Gelugor,BN,UMNO,BN,UMNO,3042,6.34,81,0.15,77,78,24393,24393,18547,52,45,-7,36,-5846,-31.52,54042,54042,60850,47334,54042,51904,89,86
P043,Penang,Bagan,Bagan,PR,DAP,PH,DAP,34159,57.18,43902,73.11,14,13,12307,12307,7751,21,18,-3,13,-4556,-58.78,68503,68503,71583,59101,68503,59585,87,84
P044,Penang,Permatang Pauh,Permatang Pauh,PR,PKR,PH,PKR,11721,18.51,15668,22.23,69,72,25369,25369,19866,40,40,0,28,-5503,-27.7,71699,71699,81789,62660,63332,69828,88,86
P045,Penang,Bukit Mertajam,Bukit Mertajam,PR,DAP,PH,DAP,43063,62.05,52877,69.76,18,19,12814,12814,10907,19,18,-1,15,-1907,-17.48,78996,78996,88998,68691,69403,74691,88,85
P046,Penang,Batu Kawan,Batu Kawan,PR,DAP,PH,DAP,25962,51.78,33553,60.59,20,21,10674,10674,9130,22,21,-1,17,-1544,-16.91,57500,57500,65394,49416,50139,54705,87,85
P047,Penang,Nibong Tebal,Nibong Tebal,PR,PKR,PH,PKR,8598,16.37,15817,25.09,45,48,21405,21405,19578,41,41,0,31,-1827,-9.33,59345,59345,73383,51705,52538,62179,89,86
P048,Penang,Bukit Bendera,Bukit Bendera,PR,DAP,PH,DAP,32778,55.54,40731,67.64,14,15,12813,12813,9318,22,22,0,16,-3495,-37.51,71085,71085,75069,58404,59019,59706,83,80
P049,Penang,Tanjong,Tanjong,PR,DAP,PH,DAP,28645,66.82,29599,73.86,6,6,6865,6865,5064,16,16,0,13,-1801,-35.56,51487,51487,49586,42375,42870,39727,83,81
P050,Penang,Jelutong,Jelutong,PR,DAP,PH,DAP,25750,41.91,38171,59.28,20,23,17461,17461,12529,29,28,-1,20,-4932,-39.36,71247,71247,76991,60672,61441,63666,86,84
P051,Penang,Bukit Gelugor,Bukit Gelugor,PR,DAP,PH,DAP,41778,59.21,55951,73.39,15,14,13597,13597,9671,19,19,0,13,-3926,-40.6,81897,81897,91595,69900,70554,75705,86,83
P052,Penang,Bayan Baru,Bayan Baru,PR,PKR,PH,PKR,19307,28.12,37751,49.93,39,40,24251,24251,13804,36,35,-1,18,-10447,-75.68,79155,79155,90780,67809,68659,74849,87,83
