par_code,state,ge13_constituency,ge14_constituency,ge13_win_coallition,ge13_win_party,ge14_win_coallition,ge14_win_party,ge13_majority,ge13_majority_pct,ge14_majority,ge14_majority_pct,ge13_malay,ge14_malay,bn_ge13_vote,bn_rede_vote,bn_ge14_vote,bn_ge13_vote_pct,bn_rede_vote_pct,adjusted_rede_diff,bn_ge14_vote_pct,swing_vote,swing_pct,ge13_total_electorate,rede_total_electorate,ge14_total_electorate,ge13_tvv,rede_tvv,ge14_tvv,ge13_turnout,ge14_turnout
P127,Negeri Sembilan,Jempol,Jempol,BN,UMNO,BN,UMNO,8614,15.75,1631,2.8,61,63,31124,31124,26819,58,58,0,47,-4305,-16.05,65213,65213,72122,53619,53619,57274,84,81
P128,Negeri Sembilan,Seremban,Seremban,PR,DAP,PH,DAP,12553,14.37,30694,33.05,44,48,33075,32577,24809,39,39,0,27,-7768,-31.31,102305,98145,110168,85873,82534,91818,85,84
P129,Negeri Sembilan,Kuala Pilah,Kuala Pilah,BN,UMNO,PH,PPBM,9661,24.06,200,0.49,76,77,24507,24507,17845,62,62,0,44,-6662,-37.33,47671,47671,49801,39353,39353,40237,84,82
P130,Negeri Sembilan,Rasah,Rasah,PR,DAP,PH,DAP,23485,31.04,46867,54.27,28,30,25479,25977,14939,34,33,-1,18,-11038,-73.89,88403,92563,102838,74443,77782,85307,86,84
P131,Negeri Sembilan,Rembau,Rembau,BN,UMNO,BN,UMNO,18357,26.49,4364,5.83,70,73,43053,43053,36096,63,63,0,49,-6957,-19.27,79661,79661,88365,68074,68074,73856,87,85
P132,Negeri Sembilan,Teluk Kemang,Port Dickson,PR,PKR,PH,PKR,1579,2.64,17710,28.44,42,43,28269,28269,18515,48,48,0,30,-9754,-52.68,70524,70524,75212,58511,58511,61334,85,83
P133,Negeri Sembilan,Tampin,Tampin,BN,UMNO,PH,AMANAH,11162,22.94,1002,2.03,61,63,29390,29390,21433,62,62,0,44,-7957,-37.12,57268,57268,60765,47618,47618,48466,85,81
P134,Malacca,Masjid Tanah,Masjid Tanah,BN,UMNO,BN,UMNO,16200,40.76,8159,18.99,82,83,27688,27688,22898,71,71,0,54,-4790,-20.92,45952,45952,51441,39176,39176,42325,86,84
P135,Malacca,Alor Gajah,Alor Gajah,BN,MCA,PH,PPBM,11597,21.07,6980,11.87,58,61,32594,32594,22350,61,61,0,39,-10244,-45.83,63591,63591,70364,53591,53591,57815,87,84
P136,Malacca,Tangga Batu,Tangga Batu,BN,UMNO,PH,PKR,15633,24.32,4659,6.63,68,71,39468,38458,27761,62,63,1,40,-10697,-38.53,73282,70286,83213,63303,60696,69142,88,84
P137,Malacca,Bukit Katil,Hang Tuah Jaya,PR,PKR,PH,PKR,5447,6.18,8640,11.15,53,62,40624,34768,30427,47,52,5,40,-4341,-14.27,99438,76997,89364,86981,67294,76583,89,87
P138,Malacca,Kota Melaka,Kota Melaka,PR,DAP,PH,DAP,20746,26.11,49175,46.08,36,37,28775,35641,27343,37,35,-2,26,-8298,-30.35,92322,117759,126848,78296,100590,105276,86,84
P139,Malacca,Jasin,Jasin,BN,UMNO,BN,UMNO,11763,20.74,219,0.35,71,74,33736,33736,26560,61,61,0,43,-7176,-27.02,64455,64455,73432,55709,55709,61761,88,85
P140,Johor,Segamat,Segamat,BN,MIC,PH,PKR,1217,3.06,5476,11.89,44,46,20037,20037,18584,52,52,0,41,-1453,-7.82,47009,47009,55350,38857,38857,45320,85,83
P141,Johor,Sekijang,Sekijang,BN,UMNO,PH,PKR,3007,8.03,1281,3.34,56,59,19934,19934,18278,54,54,0,48,-1656,-9.06,43066,43066,45596,36861,36861,37837,87,84
P142,Johor,Labis,Labis,BN,MCA,PH,DAP,353,1.1,3408,10.31,37,38,15821,15821,13567,51,51,0,42,-2254,-16.61,37714,37714,40356,31289,31289,32578,85,82
P143,Johor,Pagoh,Pagoh,BN,UMNO,PH,PPBM,12842,31.69,6927,15.97,65,66,26274,26645,16631,66,66,0,39,-10014,-60.21,46793,47538,51512,39706,40340,42672,87,84
P144,Johor,Ledang,Ledang,BN,UMNO,PH,PKR,1967,3.26,8666,13.04,54,56,30619,30619,26040,52,52,0,40,-4579,-17.58,69316,69316,77474,59271,59271,65414,87,86
P145,Johor,Bakri,Bakri,PR,DAP,PH,DAP,5067,8.7,23211,37.18,44,44,26051,26001,15507,46,45,-1,25,-10494,-67.67,67202,68595,73883,57169,58220,61800,87,85
P146,Johor,Muar,Muar,BN,UMNO,PH,PPBM,1646,4.03,6953,16.28,63,67,20867,20546,15388,52,54,2,37,-5158,-33.52,48208,46070,50843,40088,38403,42083,85,84
P147,Johor,Parit Sulong,Parit Sulong,BN,UMNO,BN,UMNO,11753,23.64,6341,12.53,77,79,30258,30258,24481,62,62,0,49,-5777,-23.6,56896,56896,59609,48763,48763,49769,87,85
P148,Johor,Ayer Hitam,Ayer Hitam,BN,MCA,BN,MCA,7310,19.37,303,0.77,58,58,22045,21823,17076,60,60,0,44,-4747,-27.8,42913,42612,46157,36780,36519,38824,88,85
P149,Johor,Sri Gading,Sri Gading,BN,UMNO,PH,PPBM,5761,14.47,3288,7.32,65,65,22453,22675,18223,57,58,1,41,-4452,-24.43,44816,45117,52119,39145,39406,44282,89,86
P150,Johor,Batu Pahat,Batu Pahat,PR,PKR,PH,PKR,1732,2.25,17894,21.5,53,55,37039,37039,28035,49,49,0,34,-9004,-32.12,88272,88272,98543,75602,75602,82137,87,84
P151,Johor,Simpang Renggam,Simpang Renggam,BN,Gerakan,PH,PPBM,5706,16.46,3475,9.49,57,60,19754,19754,14682,58,58,0,41,-5072,-34.55,40143,40143,43998,33802,33802,35822,86,83
P152,Johor,Kluang,Kluang,PR,DAP,PH,DAP,7359,9.8,23053,28.3,40,42,33215,33215,24618,45,45,0,31,-8597,-34.92,86732,86732,96915,73789,73789,80531,87,84
P153,Johor,Sembrong,Sembrong,BN,UMNO,BN,UMNO,10631,29.65,6662,18.18,59,60,22841,22841,14691,65,65,0,41,-8150,-55.48,41588,41588,44137,35051,35051,36044,86,83
P154,Johor,Mersing,Mersing,BN,UMNO,BN,UMNO,15747,42.22,8459,22.16,80,81,26184,26184,19806,71,71,0,53,-6378,-32.2,44497,44497,48176,36621,36621,37368,84,79
P155,Johor,Tenggara,Tenggara,BN,UMNO,BN,UMNO,17196,49.31,5933,15.74,73,75,25698,25698,20142,75,75,0,54,-5556,-27.58,39694,39694,44749,34200,34200,37034,88,84
P156,Johor,Kota Tinggi,Kota Tinggi,BN,UMNO,BN,UMNO,24574,66.65,14621,37.49,87,88,30373,30373,26407,84,84,0,69,-3966,-15.02,41894,41894,46677,36172,36172,38193,88,84
P157,Johor,Pengerang,Pengerang,BN,UMNO,BN,UMNO,22508,68.27,11417,34.81,88,90,26992,26992,21829,84,84,0,68,-5163,-23.65,37999,37999,40479,32271,32271,32241,87,81
P158,Johor,Tebrau,Tebrau,BN,MCA,PH,PKR,1767,2.22,37225,35.4,47,47,39985,39985,27310,51,51,0,26,-12675,-46.41,90482,90482,123033,78203,78203,103943,88,85
P159,Johor,Pasir Gudang,Pasir Gudang,BN,UMNO,PH,PKR,935,1.06,24716,23.24,48,49,43834,43834,36889,51,51,0,35,-6945,-18.83,101041,101041,124172,86733,86733,105009,88,86
P160,Johor,Johor Bahru,Johor Baru,BN,UMNO,PH,PKR,10134,12.7,19782,24.31,52,53,44509,45150,30270,57,57,0,38,-14880,-49.16,96321,97897,101409,78523,79696,80322,83,80
P161,Johor,Pulai,Pulai,BN,UMNO,PH,AMANAH,3226,3.76,28924,32.92,48,49,43751,41248,26523,52,53,1,31,-14725,-55.52,100490,92412,106268,84276,77435,86893,85,83
P162,Johor,Gelang Patah,Iskandar Puteri,PR,DAP,PH,DAP,14762,15.56,44864,37.84,34,37,39522,40905,35862,42,42,0,31,-5043,-14.06,106726,111596,138299,93806,98063,116588,89,86
P163,Johor,Kulai,Kulai,PR,DAP,PH,DAP,13450,17.96,32748,38.29,33,35,29888,30367,22564,41,41,0,27,-7803,-34.58,83991,85623,99147,73464,74875,84543,89,86
P164,Johor,Pontian,Pontian,BN,UMNO,BN,UMNO,13727,32.11,833,1.79,71,68,27804,28211,21132,66,63,-3,46,-7079,-33.5,49633,53253,55570,41881,44767,45726,86,84
P165,Johor,Tanjung Piai,Tanjung Piai,BN,MCA,PH,PPBM,5457,11.98,524,1.14,52,57,25038,24631,20731,56,59,3,46,-3900,-18.81,51875,48255,53528,44619,41733,44948,88,86
