State,KodPAR,const_name,coallition,candidate_name,party,winlose,won_party,won_coallition,majority,votes,voted_voters,votes_pct,total_voters,turnout_rate,malay,chinese,indian,others,muslim_bumi,nonmuslim_bumi,sabah_bumi,early,postal
Kelantan,22,Pasir Mas,BN,Nor Azmawi Ab Rahman @ Bawi,BN,lose,PAS,PAS,13075,15005,53551,28.02,71222,75.19,98,2,0,0,0,0,0,445,6
Kelantan,22,Pasir Mas,Others,Ibrahim Ali,IND,lose,PAS,PAS,13075,5373,53551,10.03,71222,75.19,98,2,0,0,0,0,0,445,6
Kelantan,22,Pasir Mas,PH,Che Ujang Che Daud,PKR,lose,PAS,PAS,13075,5093,53551,9.51,71222,75.19,98,2,0,0,0,0,0,445,6
Kelantan,23,Rantau Panjang,GS,Siti Zailah Mohd Yusoff,PAS,win,PAS,PAS,6150,24581,48373,50.82,66115,73.16,97,2,0,1,0,0,0,111,12
Kelantan,23,Rantau Panjang,BN,Abdullah Mat Yassim,BN,lose,PAS,PAS,6150,18431,48373,38.1,66115,73.16,97,2,0,1,0,0,0,111,12
Kelantan,23,Rantau Panjang,PH,Wan Shah Jihan Wan Din,PKR,lose,PAS,PAS,6150,5361,48373,11.08,66115,73.16,97,2,0,1,0,0,0,111,12
Kelantan,24,Kubang Kerian,GS,Tuan Ibrahim Tuan Man,PAS,win,PAS,PAS,19369,35620,63428,56.16,82018,77.33,98,2,0,0,0,0,0,90,20
Kelantan,24,Kubang Kerian,BN,Mohamad Abdul Ghani,BN,lose,PAS,PAS,19369,16251,63428,25.62,82018,77.33,98,2,0,0,0,0,0,90,20
Kelantan,24,Kubang Kerian,PH,Abdul Halim Yusof,PKR,lose,PAS,PAS,19369,11557,63428,18.22,82018,77.33,98,2,0,0,0,0,0,90,20
Kelantan,25,Bachok,GS,Nik Mohamad Abduh Nik Abdul Aziz,PAS,win,PAS,PAS,3292,36188,73964,48.93,92606,79.87,99,1,0,0,0,0,0,261,9
Kelantan,25,Bachok,BN,Awang Adek Hussin,BN,lose,PAS,PAS,3292,32896,73964,44.48,92606,79.87,99,1,0,0,0,0,0,261,9
Kelantan,25,Bachok,PH,Mohd Zulkifli Zakaria,PKR,lose,PAS,PAS,3292,4880,73964,6.6,92606,79.87,99,1,0,0,0,0,0,261,9
Kelantan,26,Ketereh,BN,Annuar Musa,BN,win,BN,BN,4626,25467,53107,47.95,65238,81.41,97,2,0,1,0,0,0,4044,7
Kelantan,26,Ketereh,GS,Wan Ismail Wan Jusoh,PAS,lose,BN,BN,4626,20841,53107,39.24,65238,81.41,97,2,0,1,0,0,0,4044,7
Kelantan,26,Ketereh,PH,Mohd Radzi Md Jidin,PKR,lose,BN,BN,4626,6799,53107,12.8,65238,81.41,97,2,0,1,0,0,0,4044,7
Kelantan,27,Tanah Merah,BN,Ikmal Hisham Abdul Aziz,BN,win,BN,BN,2929,28152,58122,48.44,73172,79.43,95,4,1,1,0,0,0,240,7
Kelantan,27,Tanah Merah,GS,Johari Mat,PAS,lose,BN,BN,2929,25223,58122,43.4,73172,79.43,95,4,1,1,0,0,0,240,7
Kelantan,27,Tanah Merah,PH,Mohamad Fauzi Zakaria,PKR,lose,BN,BN,2929,4747,58122,8.17,73172,79.43,95,4,1,1,0,0,0,240,7
Kelantan,28,Pasir Puteh,GS,Nik Muhd Zawawi Salleh,PAS,win,PAS,PAS,1360,32307,68150,47.41,85411,79.79,98,1,0,1,0,0,0,302,5
Kelantan,28,Pasir Puteh,BN,Asyraf Wajdi Dusuki,BN,lose,PAS,PAS,1360,30947,68150,45.41,85411,79.79,98,1,0,1,0,0,0,302,5
Kelantan,28,Pasir Puteh,PH,Kamarudin Md Nor,PKR,lose,PAS,PAS,1360,4896,68150,7.18,85411,79.79,98,1,0,1,0,0,0,302,5
Kelantan,29,Machang,BN,Ahmad Jazlan Yaakub,BN,win,BN,BN,2824,26076,55023,47.39,68387,80.46,97,3,0,0,0,0,0,300,5
Kelantan,29,Machang,GS,Zulkifli Mamat,PAS,lose,BN,BN,2824,23252,55023,42.26,68387,80.46,97,3,0,0,0,0,0,300,5
