KodPAR,state,const_name,total_voters,voted_voters,turnout_rate,majority,party_1,candidate_1,vote_1,percent_1,party_2,candidate_2,vote_2,percent_2,party_3,candidate_3,vote_3,percent_3,party_4,candidate_4,vote_4,percent_4,party_5,candidate_5,vote_5,percent_5,party_6,candidate_6,vote_6,percent_6
55,Perak,Lenggong,"29,752","23,205",77.99%,"5,773",BN,Shamsul Anuar Nasarah ,,,PH,Amirul Fairuzzeen Jamaluddin,,,PAS,Muhammad Mujahid Mohammad Fadzil,,,,,,,,,,,,,,
56,Perak,Larut,"49,453","39,620",80.12%,"4,486",BN,Hamzah Zainudin,,,PH,Khairil Anuar Akhiruddin,,,PAS,Abu Husin Mohmmad,,,,,,,,,,,,,,
57,Perak,Parit Buntar,"51,860","42,720",82.38%,"3,098",BN,Abdul Puhat Mat Nayan,,,PH,Mujahid Yusof Rawa,,,PAS,Ahmad Azhar Sharin,,,,,,,,,,,,,,
58,Perak,Bagan Serai,"59,293","47,255",79.70%,172,BN,Noor Azmi Ghazali,,,PH,Adam Asmuni,,,PAS,Rohaya Bakar,,,,,,,,,,,,,,
59,Perak,Bukit Gantang,"69,873","56,863",81.38%,"4,089",BN,Syed Abu Hussin Hafiz Syed Abu Fasal,,,PH,Khadri Khalid,,,PAS,Idris Ahmad,,,,,,,,,,,,,,
60,Perak,Taiping,"90,729","69,743",76.87%,"27,384",BN,Tan Keng Liang,,,PH,Teh Kok Lim,,,PAS,Ibrahim Ismail,,,,,,,,,,,,,,
61,Perak,Padang Rengas,"30,996","25,281",81.56%,"2,548",BN,Mohamed Nazri Abdul Aziz,,,PH,Ejazi Yahaya,,,PAS,Mohamad Azalan Mohamad Radzi,,,,,,,,,,,,,,
62,Perak,Sungai Siput,"55,002","42,726",77.68%,"5,607",BN,Devamany Krishnasamy,,,PH,Kesavan Subramaniam,,,PAS,Ishak Ibrahim,,,PSM,Michael Jeyakumar Devaraj,,,,,,,,,,
63,Perak,Tambun,"107,763","86,950",80.69%,"5,320",BN,Ahmad Husni Mohamad Hanadzlah,,,PH,Ahmad Faizal Azumu,,,PAS,Muhamad Zukifli Mohamad Zakaria,,,,,,,,,,,,,,
64,Perak,Ipoh Timor,"91,486","70,241",76.78%,"42,797",BN,Kathleen Wong Mei Yin,,,PH,Wong Kah Woh,,,,,,,,,,,,,,,,,,
65,Perak,Ipoh Barat,"84,874","65,502",77.18%,"45,724",BN,Cheng Wei Yee,,,PH,M. Kulasekaran V. Murugeson,,,,,,,,,,,,,,,,,,
66,Perak,Batu Gajah,"81,399","62,787",77.13%,"43,868",BN,Leong Chee Wai,,,PH,Sivakumar Varatharajy Naidu,,,PSM,Kunasekaran Krishnan,,,,,,,,,,,,,,
67,Perak,Kuala Kangsar,"36,954","30,056",81.33%,731,BN,Mastura Mohd Yazid,,,PH,Ahmad Termizi Ramli,,,PAS,Khalil Idham Lim Abdullah,,,,,,,,,,,,,,
68,Perak,Beruas,"79,794","60,267",75.53%,"27,954",BN,Pang Chok King,,,PH,Ngeh Koo Ham,,,PAS,Mohamad Nazeer M K M Hameed,,,,,,,,,,,,,,
69,Perak,Parit,"35,910","28,990",80.73%,"6,320",BN,Mohd Nizar Zakaria ,,,PH,Ahmad Tarmizi Mohd Jam,,,PAS,Najihatussalehah Ahmad,,,,,,,,,,,,,,
70,Perak,Kampar,"69,436","52,495",75.60%,"11,801",BN,Lee Chee Leong,,,PH,Su Keong Siong,,,PAS,Yougan Mahalingam,,,,,,,,,,,,,,
