State,KodPAR,const_name,won_coallition,winlose,total_voters,voters
Perak,58,Bagan Serai,Barisan Nasional,win,59293,"59,293"
Pulau Pinang,53,Balik Pulau,Pakatan Harapan,win,59086,"59,086"
Pahang,90,Bera,Barisan Nasional,win,58711,"58,711"
Sarawak,194,Petra Jaya,Barisan Nasional,win,57925,"57,925"
Sabah,169,Kota Belud,Pakatan Harapan,win,57919,"57,919"
Pahang,80,Raub,Pakatan Harapan,win,57723,"57,723"
Sabah,172,Kota Kinabalu,Pakatan Harapan,win,56220,"56,220"
Perlis,2,Kangar,Pakatan Harapan,win,55938,"55,938"
Johor,164,Pontian,Barisan Nasional,win,55570,"55,570"
Johor,140,Segamat,Pakatan Harapan,win,55350,"55,350"
Pahang,84,Paya Besar,Barisan Nasional,win,55135,"55,135"
Perak,62,Sungai Siput,Pakatan Harapan,win,55002,"55,002"
Perak,73,Pasir Salak,Barisan Nasional,win,54671,"54,671"
Sabah,170,Tuaran,Barisan Nasional,win,54400,"54,400"
Kedah,5,Jerlun,Pakatan Harapan,win,54132,"54,132"
Johor,165,Tanjung Piai,Pakatan Harapan,win,53528,"53,528"
Sabah,174,Penampang,Pakatan Harapan,win,53131,"53,131"
Kelantan,32,Gua Musang,Barisan Nasional,win,52524,"52,524"
Sabah,167,Kudat,Barisan Nasional,win,52251,"52,251"
Sabah,191,Kalabakan,Pakatan Harapan,win,52199,"52,199"
Johor,149,Sri Gading,Pakatan Harapan,win,52119,"52,119"
Perak,57,Parit Buntar,Pakatan Harapan,win,51860,"51,860"
Johor,143,Pagoh,Pakatan Harapan,win,51512,"51,512"
Melaka,134,Masjid Tanah,Barisan Nasional,win,51441,"51,441"
Sabah,180,Keningau,SOLIDARITI,win,51177,"51,177"
Johor,146,Muar,Pakatan Harapan,win,50843,"50,843"
Kedah,13,Sik,PAS,win,50385,"50,385"
Negeri Sembilan,129,Kuala Pilah,Pakatan Harapan,win,49801,"49,801"
Pulau Pinang,49,Tanjong,Pakatan Harapan,win,49586,"49,586"
Perak,56,Larut,Barisan Nasional,win,49453,"49,453"
Selangor,93,Sungai Besar,Pakatan Harapan,win,48739,"48,739"
Negeri Sembilan,126,Jelebu,Barisan Nasional,win,48522,"48,522"
Sabah,189,Semporna,Pakatan Harapan,win,48248,"48,248"
Perlis,3,Arau,Barisan Nasional,win,48187,"48,187"
Johor,154,Mersing,Barisan Nasional,win,48176,"48,176"
Sabah,184,Libaran,Barisan Nasional,win,47914,"47,914"
Kelantan,30,Jeli,Barisan Nasional,win,47470,"47,470"
Perak,75,Bagan Datuk,Barisan Nasional,win,47309,"47,309"
Pahang,87,Kuala Krau,Barisan Nasional,win,47264,"47,264"
Selangor,95,Tanjong Karang,Barisan Nasional,win,47198,"47,198"
Perak,72,Tapah,Barisan Nasional,win,47128,"47,128"
Sabah,168,Kota Marudu,Barisan Nasional,win,47007,"47,007"
Johor,156,Kota Tinggi,Barisan Nasional,win,46677,"46,677"
Kedah,7,Padang Terap,Barisan Nasional,win,46644,"46,644"
Sarawak,197,Kota Samarahan,Barisan Nasional,win,46300,"46,300"
Sarawak,198,Puncak Borneo,Pakatan Harapan,win,46180,"46,180"
Johor,148,Ayer Hitam,Barisan Nasional,win,46157,"46,157"
Perlis,1,Padang Besar,Barisan Nasional,win,46096,"46,096"
Sarawak,193,Santubong,Barisan Nasional,win,45628,"45,628"
Johor,141,Sekijang,Pakatan Harapan,win,45596,"45,596"
Johor,155,Tenggara,Barisan Nasional,win,44749,"44,749"
Johor,153,Sembrong,Barisan Nasional,win,44137,"44,137"
Johor,151,Simpang Renggam,Pakatan Harapan,win,43998,"43,998"
Sabah,179,Ranau,Pakatan Harapan,win,43706,"43,706"
Sabah,175,Papar,Pakatan Harapan,win,43586,"43,586"
Kedah,4,Langkawi,Pakatan Harapan,win,42697,"42,697"
Sabah,173,Putatan,Pakatan Harapan,win,41312,"41,312"
Pahang,86,Maran,Barisan Nasional,win,41036,"41,036"
Selangor,92,Sabak Bernam,Barisan Nasional,win,40863,"40,863"
Johor,157,Pengerang,Barisan Nasional,win,40479,"40,479"
Johor,142,Labis,Pakatan Harapan,win,40356,"40,356"
Sabah,186,Sandakan,Pakatan Harapan,win,39777,"39,777"
Sarawak,208,Sarikei,Pakatan Harapan,win,39561,"39,561"
Sarawak,199,Serian,Barisan Nasional,win,37629,"37,629"
Perak,67,Kuala Kangsar,Barisan Nasional,win,36954,"36,954"
Perak,69,Parit,Barisan Nasional,win,35910,"35,910"
Perak,54,Gerik,Barisan Nasional,win,35903,"35,903"
Sarawak,220,Baram,Barisan Nasional,win,35685,"35,685"
Pahang,79,Lipis,Barisan Nasional,win,35294,"35,294"
Sabah,177,Beaufort,Barisan Nasional,win,33342,"33,342"
Sarawak,202,Sri Aman,Barisan Nasional,win,33016,"33,016"
Sabah,185,Batu Sapi,Pakatan Harapan,win,32574,"32,574"
Pahang,78,Cameron Highlands,Barisan Nasional,win,32048,"32,048"
Sabah,178,Sipitang,Barisan Nasional,win,31882,"31,882"
Sarawak,218,Sibuti,Barisan Nasional,win,31868,"31,868"
Sabah,182,Pensiangan,Barisan Nasional,win,31377,"31,377"
Perak,61,Padang Rengas,Barisan Nasional,win,30996,"30,996"
Sarawak,215,Kapit,Barisan Nasional,win,30658,"30,658"
Sarawak,213,Mukah,Barisan Nasional,win,30608,"30,608"
Sarawak,205,Saratok,Pakatan Harapan,win,30517,"30,517"
Sarawak,214,Selangau,Pakatan Harapan,win,30026,"30,026"
Sarawak,201,Batang Lupar,Barisan Nasional,win,29811,"29,811"
Perak,55,Lenggong,Barisan Nasional,win,29752,"29,752"
Sabah,176,Kimanis,Barisan Nasional,win,29618,"29,618"
Sarawak,192,Mas Gading,Pakatan Harapan,win,29617,"29,617"
Sabah,181,Tenom,Pakatan Harapan,win,29182,"29,182"
Sarawak,204,Betong,Barisan Nasional,win,29145,"29,145"
Sabah,187,Kinabatangan,Barisan Nasional,win,28730,"28,730"
Sabah,183,Beluran,Barisan Nasional,win,28509,"28,509"
W.P. Labuan,166,Labuan,Barisan Nasional,win,28356,"28,356"
Sarawak,216,Hulu Rajang,Barisan Nasional,win,27520,"27,520"
W.P. Putrajaya,125,Putrajaya,Barisan Nasional,win,27306,"27,306"
Sarawak,221,Limbang,Barisan Nasional,win,26409,"26,409"
Sarawak,209,Julau,IND,win,25380,"25,380"
Sarawak,200,Batang Sadong,Barisan Nasional,win,23213,"23,213"
Sarawak,206,Tanjong Manis,Barisan Nasional,win,21899,"21,899"
Sarawak,222,Lawas,Barisan Nasional,win,21297,"21,297"
Sarawak,210,Kanowit,Barisan Nasional,win,21022,"21,022"
Sarawak,203,Lubok Antu,IND,win,20801,"20,801"
Sarawak,207,Igan,Barisan Nasional,win,19592,"19,592"
